Name,Agent,Usage,Rounds Played,Rating,ACS,K:D,ADR,KAST,KPR,APR,First Kills Per Round,First Deaths Per Round,Kills,Deaths,Assists,First Kills,First Deaths
paTiTek,breach,(8) 30%,165,0.91,162.6,0.90,105.3,66%,0.59,0.29,0.08,0.05,98,109,48,14,9
paTiTek,fade,(5) 19%,116,1.04,187.2,1.04,118.6,73%,0.63,0.33,0.14,0.05,73,70,38,16,6
paTiTek,tejo,(5) 19%,91,0.80,150.2,0.75,100.1,75%,0.49,0.36,0.10,0.02,45,60,33,9,2
paTiTek,kayo,(3) 11%,69,1.15,203.3,1.10,132.2,87%,0.64,0.59,0.09,0.03,44,40,41,6,2
paTiTek,viper,(2) 7%,36,0.87,128.5,0.85,103.1,69%,0.47,0.11,0.06,0.03,17,20,4,2,1
paTiTek,skye,(2) 7%,34,0.74,116.5,0.55,76.5,74%,0.35,0.56,0.06,0.09,12,22,19,2,3
paTiTek,vyse,(1) 4%,19,0.73,215.0,0.82,133.3,58%,0.74,0.16,0.05,0.11,14,17,3,1,2
paTiTek,sova,(1) 4%,17,0.49,95.0,0.36,74.7,47%,0.29,0.06,0.00,0.06,5,14,1,0,1
Less,viper,(15) 58%,323,1.11,213.0,1.16,135.7,70%,0.78,0.26,0.08,0.09,251,217,84,26,28
Less,cypher,(8) 31%,175,0.80,163.8,0.82,113.1,67%,0.58,0.22,0.04,0.10,102,124,38,7,18
Less,brimstone,(2) 8%,44,1.41,251.0,1.71,153.0,84%,0.93,0.41,0.02,0.09,41,24,18,1,4
Less,astra,(1) 4%,24,0.84,156.0,0.72,113.4,67%,0.54,0.46,0.00,0.13,13,18,11,0,3
Elite,vyse,(6) 50%,117,0.95,164.5,0.89,110.3,70%,0.56,0.30,0.05,0.09,65,73,35,6,10
Elite,killjoy,(3) 25%,64,1.36,241.0,1.56,163.0,81%,0.83,0.16,0.08,0.02,53,34,10,5,1
Elite,cypher,(2) 17%,47,0.49,103.5,0.43,64.2,70%,0.34,0.17,0.09,0.04,16,37,8,4,2
Elite,deadlock,(1) 8%,24,0.54,91.0,0.44,60.4,63%,0.33,0.29,0.04,0.08,8,18,7,1,2
qRaxs,fade,(8) 57%,158,0.82,169.6,0.83,107.6,73%,0.59,0.27,0.06,0.05,93,112,43,10,8
qRaxs,kayo,(5) 36%,153,1.08,189.0,1.05,121.6,78%,0.70,0.50,0.05,0.05,107,102,76,7,8
qRaxs,raze,(1) 7%,22,0.64,156.0,0.61,116.6,68%,0.50,0.32,0.14,0.23,11,18,7,3,5
Flickless,breach,(28) 74%,584,1.14,203.1,1.11,133.3,77%,0.74,0.41,0.06,0.07,430,388,241,34,39
Flickless,kayo,(7) 18%,157,0.97,176.1,0.88,118.1,69%,0.60,0.46,0.04,0.11,94,107,73,6,17
Flickless,fade,(3) 8%,58,1.33,255.3,1.36,165.2,78%,0.91,0.40,0.03,0.07,53,39,23,2,4
runneR,breach,(4) 40%,81,0.99,176.0,0.83,126.0,68%,0.62,0.46,0.04,0.10,50,60,37,3,8
runneR,omen,(2) 20%,42,1.11,173.5,1.26,115.0,71%,0.69,0.33,0.02,0.14,29,23,14,1,6
runneR,vyse,(2) 20%,36,0.60,146.0,0.45,101.8,64%,0.39,0.42,0.00,0.14,14,31,15,0,5
runneR,tejo,(2) 20%,36,0.83,197.0,0.70,132.8,69%,0.58,0.25,0.06,0.03,21,30,9,2,1
Filu,yoru,(6) 55%,119,0.85,186.3,0.83,115.0,62%,0.65,0.23,0.15,0.16,77,93,27,18,19
Filu,iso,(2) 18%,48,0.92,231.0,0.95,140.0,60%,0.79,0.15,0.13,0.15,38,40,7,6,7
Filu,raze,(2) 18%,44,0.96,215.5,0.94,138.8,66%,0.77,0.25,0.18,0.16,34,36,11,8,7
Filu,jett,(1) 9%,19,1.40,265.0,1.82,180.2,79%,1.05,0.16,0.21,0.11,20,11,3,4,2
K4DAVRA,omen,(6) 46%,136,0.94,178.7,0.87,117.4,74%,0.63,0.38,0.08,0.06,85,98,52,11,8
K4DAVRA,viper,(4) 31%,78,0.97,180.8,0.96,128.6,73%,0.64,0.32,0.12,0.13,50,52,25,9,10
K4DAVRA,brimstone,(2) 15%,56,0.84,179.0,0.78,114.7,75%,0.63,0.43,0.13,0.07,35,45,24,7,4
K4DAVRA,astra,(1) 8%,15,0.55,158.0,0.60,98.9,53%,0.60,0.13,0.00,0.13,9,15,2,0,2
Sayf,tejo,(15) 58%,332,0.87,168.6,0.87,112.7,70%,0.58,0.23,0.07,0.07,193,221,75,24,22
Sayf,vyse,(3) 12%,67,1.04,228.0,1.13,136.5,72%,0.78,0.30,0.06,0.04,52,46,20,4,3
Sayf,omen,(3) 12%,65,0.65,140.7,0.60,87.4,66%,0.48,0.32,0.09,0.09,31,52,21,6,6
Sayf,sova,(3) 12%,65,0.99,177.0,0.93,122.4,66%,0.65,0.28,0.02,0.08,42,45,18,1,5
Sayf,iso,(1) 4%,20,1.15,254.0,1.19,170.4,65%,0.95,0.15,0.10,0.15,19,16,3,2,3
Sayf,jett,(1) 4%,17,0.94,227.0,0.93,157.2,59%,0.76,0.00,0.12,0.06,13,14,0,2,1
sheydos,killjoy,(3) 27%,67,0.88,150.3,0.95,110.3,69%,0.54,0.13,0.04,0.12,36,38,9,3,8
sheydos,breach,(3) 27%,64,0.86,160.3,0.86,106.4,72%,0.58,0.22,0.02,0.02,37,43,14,1,1
sheydos,tejo,(2) 18%,41,1.02,189.5,0.97,127.8,63%,0.71,0.12,0.10,0.02,29,30,5,4,1
sheydos,fade,(1) 9%,22,1.07,151.0,0.86,113.5,73%,0.55,0.23,0.00,0.09,12,14,5,0,2
sheydos,sova,(1) 9%,19,1.21,244.0,1.38,152.4,63%,0.95,0.00,0.11,0.11,18,13,0,2,2
sheydos,chamber,(1) 9%,17,0.60,157.0,0.60,109.9,59%,0.53,0.06,0.00,0.18,9,15,1,0,3
purp0,omen,(6) 55%,122,0.85,160.7,0.72,110.6,68%,0.56,0.39,0.04,0.11,68,94,47,5,13
purp0,yoru,(1) 9%,22,0.56,148.0,0.59,102.9,59%,0.45,0.18,0.18,0.32,10,17,4,4,7
purp0,brimstone,(1) 9%,22,1.30,212.0,1.42,137.5,91%,0.77,0.64,0.05,0.00,17,12,14,1,0
purp0,astra,(1) 9%,20,0.96,161.0,0.81,105.2,70%,0.65,0.45,0.10,0.10,13,16,9,2,2
purp0,iso,(1) 9%,16,0.82,193.0,0.79,123.9,63%,0.69,0.13,0.06,0.31,11,14,2,1,5
purp0,raze,(1) 9%,15,0.97,226.0,0.85,147.6,53%,0.73,0.07,0.07,0.13,11,13,1,1,2
saadhak,harbor,(6) 50%,117,0.94,194.8,0.90,121.2,77%,0.65,0.41,0.14,0.18,76,84,48,16,21
saadhak,kayo,(3) 25%,64,0.92,182.7,0.83,116.8,73%,0.59,0.44,0.08,0.14,38,46,28,5,9
saadhak,sova,(2) 17%,50,0.95,173.5,0.79,125.8,70%,0.52,0.38,0.06,0.02,26,33,19,3,1
saadhak,breach,(1) 8%,21,0.59,150.0,0.61,98.2,67%,0.52,0.29,0.14,0.24,11,18,6,3,5
batujnax,viper,(6) 50%,124,0.91,193.8,0.86,124.2,70%,0.65,0.24,0.12,0.11,81,94,30,15,14
batujnax,cypher,(4) 33%,82,0.69,164.0,0.72,106.1,68%,0.56,0.26,0.06,0.12,46,64,21,5,10
batujnax,yoru,(1) 8%,30,1.32,250.0,1.29,158.7,73%,0.90,0.23,0.23,0.10,27,21,7,7,3
batujnax,killjoy,(1) 8%,19,0.76,184.0,0.87,119.3,63%,0.68,0.11,0.00,0.11,13,15,2,0,2
grubinho,omen,(5) 45%,105,0.77,137.2,0.65,96.9,69%,0.50,0.31,0.08,0.13,52,80,33,8,14
grubinho,viper,(3) 27%,67,0.96,169.3,0.87,111.2,70%,0.61,0.27,0.16,0.12,41,47,18,11,8
grubinho,astra,(2) 18%,36,0.75,130.5,0.67,83.3,72%,0.50,0.39,0.03,0.17,18,27,14,1,6
grubinho,brimstone,(1) 9%,22,1.11,235.0,1.06,152.3,59%,0.82,0.32,0.18,0.05,18,17,7,4,1
flyuh,sova,(4) 36%,84,0.94,211.8,0.85,147.3,76%,0.67,0.35,0.07,0.12,56,66,29,6,10
flyuh,viper,(3) 27%,64,1.02,214.0,0.98,130.9,73%,0.72,0.30,0.14,0.17,46,47,19,9,11
