Map,Team,Player,Agent,ACS,Kills,Deaths,Assists,FirstKills,Winner,MapScore,Date,MatchID,MatchURL
Pearl,WOL,Lysoar,deadlock,142,11,16,9,,True,9‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
Pearl,WOL,SiuFatBB,fade,132,8,13,9,,True,9‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
Haven,JDG,jkuro,omen,235,19,16,12,,False,11‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
Haven,JDG,Babyblue,yoru,222,19,16,5,,False,11‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
Haven,JDG,Z1yan,cypher,170,15,12,3,,False,11‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
Haven,JDG,stew,iso,153,13,18,3,,False,11‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
Haven,JDG,MrCANI,sova,123,10,16,9,,False,11‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
Haven,WOL,Juicy,yoru,242,18,16,8,,True,11‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
Haven,WOL,Spring,omen,205,16,17,13,,True,11‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
Haven,WOL,Yuicaw,breach,200,19,13,12,,True,11‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
Haven,WOL,Lysoar,cypher,151,13,16,6,,True,11‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
